City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
294,Seoul,KR,78.37,light rain,37.5683,126.9778,LOTTE HOTEL SEOUL
298,Urgut,UZ,76.62,scattered clouds,39.4022,67.2431,Xursandov Abdullo xonadoni
299,Madimba,TZ,73.24,scattered clouds,-10.4,40.3333,
301,Mayumba,GA,73.65,scattered clouds,-3.432,10.6554,LIKWALE LODGE
302,Kartaly,RU,66.47,broken clouds,53.0522,60.6467,Gostinitsa Lyuks
305,Sao Joao Da Barra,BR,75.29,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
306,Liuhe,CN,70.21,overcast clouds,42.2401,125.7172,Grain Hostel
307,Alofi,NU,75.09,clear sky,-19.0595,-169.9187,Taloa Heights
309,Samarai,PG,79.29,scattered clouds,-10.6167,150.6667,Nuli Sapi
311,Sioux Lookout,CA,66.27,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
316,Valdemarpils,LV,65.23,overcast clouds,57.3707,22.5919,Guest House Laumas
321,Harper,LR,77.27,overcast clouds,4.375,-7.7169,Screensaver
323,Midrand,ZA,67.39,scattered clouds,-25.9636,28.1378,Mercure Johannesburg Midrand Hotel
324,Moyale,KE,73.17,overcast clouds,3.5167,39.0584,La Tahzan Guest House
330,Nichinan,JP,79.97,overcast clouds,31.6,131.3667,Guest House Aki
334,Padang,ID,78.37,moderate rain,-0.9492,100.3543,Mercure Padang
335,Broome,US,78.69,few clouds,42.2506,-75.833,Chenango Valley State Park
336,Tiarei,PF,73.42,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
337,Grand Bank,CA,70.99,clear sky,47.0999,-55.765,Hotel Fortune
341,Katobu,ID,74.16,broken clouds,-4.9408,122.5276,La Ode Husein
343,Chunoyar,RU,65.26,light rain,57.4467,97.3217,
347,Palora,EC,78.91,scattered clouds,-1.7,-77.9333,Rancho grande
348,Mingguang,CN,78.51,clear sky,32.7802,117.9638,Yonghao Hotel
351,Kahului,US,78.84,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
355,Ilhabela,BR,69.24,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
358,Gwanda,ZW,70.2,clear sky,-20.9333,29.0,Mafax Homeways
360,Hamilton,US,73.99,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
367,Bereda,ES,78.15,clear sky,43.2686,-7.5406,Pazo de Verdes
368,Lichinga,MZ,69.89,few clouds,-13.3128,35.2406,Residencial Bendiak
373,Dondo,MZ,68.05,clear sky,-19.6094,34.7431,Pensao Casual
376,Khasan,RU,72.43,moderate rain,42.4308,130.6434,Fangchuan Self-Driving Camp
380,Beloha,MG,69.12,few clouds,-25.1667,45.05,
381,Moravske Budejovice,CZ,79.95,scattered clouds,49.0521,15.8086,Lima Real A.s.
382,Nacala,MZ,72.9,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
384,Nhulunbuy,AU,75.81,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
387,Labuhan,ID,78.17,broken clouds,-6.8844,112.2051,DoubleFAG
391,Cervo,ES,69.96,few clouds,43.6702,-7.4101,Hotel Spa Galatea
393,Antalaha,MG,69.55,clear sky,-14.9003,50.2788,Hotel Vitasoa
396,Storsteinnes,NO,70.45,overcast clouds,69.2408,19.2344,Tingvoll
398,Bonavista,CA,66.96,clear sky,48.6499,-53.1147,Sweet Sharons bnb
402,Kamloops,CA,74.57,clear sky,50.6665,-120.3192,Ramada by Wyndham Kamloops
407,Naze,JP,79.72,overcast clouds,28.3667,129.4833,Shishime Hotel
418,Hualmay,PE,65.08,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
419,Pangkalanbuun,ID,72.37,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
