City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Avarua,CK,2022-07-20 20:30:21,-21.2078,-159.775,73.45,68,75,16.11
100,Road Town,VG,2022-07-20 20:27:39,18.4167,-64.6167,87.89,70,75,11.5
101,Tiarei,PF,2022-07-20 20:30:22,-17.5333,-149.3333,80.62,71,2,9.84
102,Preobrazheniye,RU,2022-07-20 20:30:22,42.9019,133.9064,64.02,92,99,4.94
103,Bengkulu,ID,2022-07-20 20:30:23,-3.8004,102.2655,75.81,90,63,2.95
104,Severo-Kurilsk,RU,2022-07-20 20:30:23,50.6789,156.125,52.11,97,98,11.79
105,Saint-Junien,FR,2022-07-20 20:30:23,45.8833,0.9,70.38,79,0,3.27
106,Pundaguitan,PH,2022-07-20 20:30:24,6.3711,126.1689,81.88,74,80,1.32
107,Cururupu,BR,2022-07-20 20:30:24,-1.8283,-44.8683,75.83,90,78,3.6
108,Pacific Grove,US,2022-07-20 20:29:09,36.6177,-121.9166,81.21,86,40,12.66
109,Airai,TL,2022-07-20 20:30:24,-8.9266,125.4092,56.71,94,88,3.53
110,Barcelona,ES,2022-07-20 20:30:25,41.3888,2.159,83.14,80,20,8.05
111,Dalvik,IS,2022-07-20 20:30:25,65.9702,-18.5286,48.13,91,100,3.62
112,Halifax,CA,2022-07-20 20:30:01,44.6453,-63.5724,83.48,44,20,16.11
113,Nome,US,2022-07-20 20:27:16,64.5011,-165.4064,46.47,87,100,16.11
114,East London,ZA,2022-07-20 20:28:32,-33.0153,27.9116,62.58,82,93,4.83
115,Oudtshoorn,ZA,2022-07-20 20:30:26,-33.5907,22.2014,47.97,94,24,1.66
116,Mahebourg,MU,2022-07-20 20:30:27,-20.4081,57.7,68.29,73,75,12.66
117,Torbay,CA,2022-07-20 20:25:41,47.6666,-52.7314,71.58,76,75,20.71
118,Atuona,PF,2022-07-20 20:30:27,-9.8,-139.0333,77.77,74,9,15.12
119,Koutsouras,GR,2022-07-20 20:30:27,35.0339,25.9469,76.1,57,0,13.38
120,Kavieng,PG,2022-07-20 20:30:28,-2.5744,150.7967,81.16,79,90,11.01
121,Klaksvik,FO,2022-07-20 20:30:28,62.2266,-6.589,49.12,91,98,19.15
122,Tadine,NC,2022-07-20 20:30:29,-21.55,167.8833,75.27,90,100,10.63
123,Kapaa,US,2022-07-20 20:30:29,22.0752,-159.319,82.72,74,20,14.97
124,Mineiros,BR,2022-07-20 20:30:29,-17.5694,-52.5511,76.21,26,4,7.05
125,Lasa,IT,2022-07-20 20:30:29,46.6166,10.7002,70.68,85,50,2.71
126,Provideniya,RU,2022-07-20 20:30:30,64.3833,-173.3,46.51,76,75,25.01
127,Barrow,US,2022-07-20 20:25:35,71.2906,-156.7887,51.82,66,100,10.36
128,Valdivia,CL,2022-07-20 20:25:42,-39.8142,-73.2459,48.29,97,100,4.52
129,Clyde River,CA,2022-07-20 20:30:31,70.4692,-68.5914,39.43,93,100,8.05
130,Norman Wells,CA,2022-07-20 20:30:31,65.282,-126.8329,73.44,38,20,4.61
131,Port Augusta,AU,2022-07-20 20:30:31,-32.5,137.7667,39.99,86,0,4.88
132,Vestmanna,FO,2022-07-20 20:30:31,62.1564,-7.1664,47.32,93,100,16.11
133,Mar Del Plata,AR,2022-07-20 20:29:06,-38.0023,-57.5575,63.95,53,0,16.11
134,Sinnamary,GF,2022-07-20 20:30:32,5.3833,-52.95,80.01,77,6,8.14
135,Ponta Do Sol,PT,2022-07-20 20:30:32,32.6667,-17.1,73.71,81,5,6.98
136,Hithadhoo,MV,2022-07-20 20:30:33,-0.6,73.0833,80.83,69,100,2.13
137,Berlevag,NO,2022-07-20 20:30:33,70.8578,29.0864,55.2,94,100,2.3
138,Lazaro Cardenas,MX,2022-07-20 20:31:33,17.9583,-102.2,86.9,70,6,10.54
139,Qaqortoq,GL,2022-07-20 20:27:55,60.7167,-46.0333,53.64,79,82,3.58
140,Litovko,RU,2022-07-20 20:31:34,49.2361,135.1742,62.69,92,93,2.37
141,Richards Bay,ZA,2022-07-20 20:31:34,-28.783,32.0377,63.16,89,12,6.51
142,Tasiilaq,GL,2022-07-20 20:31:34,65.6145,-37.6368,44.76,81,55,0.6
143,Praia,CV,2022-07-20 20:31:35,14.9215,-23.5087,79.34,83,40,6.91
144,Northam,GB,2022-07-20 20:31:35,51.0333,-4.2167,62.62,77,11,13.44
145,Hirado,JP,2022-07-20 20:31:35,33.3597,129.5531,82.38,90,100,14.99
146,Araouane,ML,2022-07-20 20:31:36,18.9048,-3.5265,91.99,38,88,6.53
147,Boajibu,SL,2022-07-20 20:31:36,8.1833,-11.3333,71.58,99,100,2.3
148,Port Blair,IN,2022-07-20 20:31:37,11.6667,92.75,78.84,94,100,1.14
149,Flinders,AU,2022-07-20 20:31:37,-34.5833,150.8552,51.19,93,100,4.0
150,Hamilton,US,2022-07-20 20:31:38,39.1834,-84.5333,94.87,62,75,12.66
151,Mount Isa,AU,2022-07-20 20:31:04,-20.7333,139.5,49.77,43,0,1.14
152,Santa Maria,BR,2022-07-20 20:31:38,-29.6842,-53.8069,63.7,82,0,6.91
153,Malko Tarnovo,BG,2022-07-20 20:31:38,41.9833,27.5333,61.14,58,0,1.95
154,Chokurdakh,RU,2022-07-20 20:31:39,70.6333,147.9167,43.5,71,89,9.19
155,Craig,US,2022-07-20 20:31:39,40.5153,-107.5464,85.95,23,75,10.36
156,Broken Hill,AU,2022-07-20 20:31:39,-31.95,141.4333,47.79,93,99,14.27
157,Faya,SA,2022-07-20 20:31:39,18.3851,42.4509,68.11,61,100,7.05
158,Nurota,UZ,2022-07-20 20:31:40,40.5614,65.6886,82.74,17,0,9.91
159,Eureka,US,2022-07-20 20:31:40,40.8021,-124.1637,70.2,75,68,5.99
160,Hofn,IS,2022-07-20 20:31:41,64.2539,-15.2082,52.61,74,100,6.02
161,El Fuerte,MX,2022-07-20 20:31:41,26.4189,-108.6194,97.61,41,7,10.56
162,Dikson,RU,2022-07-20 20:31:41,73.5069,80.5464,41.59,73,11,24.58
163,Salto,UY,2022-07-20 20:30:06,-31.3833,-57.9667,68.88,81,100,7.0
164,Arraial Do Cabo,BR,2022-07-20 20:31:42,-22.9661,-42.0278,73.26,78,20,8.05
165,Luderitz,NA,2022-07-20 20:31:42,-26.6481,15.1594,56.98,60,3,17.6
166,Tromso,NO,2022-07-20 20:31:42,69.6496,18.957,61.38,72,75,5.75
167,Sechura,PE,2022-07-20 20:31:43,-5.5569,-80.8222,74.95,56,27,15.64
168,Vardo,NO,2022-07-20 20:30:45,70.3705,31.1107,51.78,100,100,1.14
169,Mercedes,AR,2022-07-20 20:31:43,-34.6515,-59.4307,66.78,63,31,5.88
170,Paracuru,BR,2022-07-20 20:28:27,-3.41,-39.0306,79.11,66,64,14.56
171,Salalah,OM,2022-07-20 20:28:17,17.0151,54.0924,77.09,100,100,3.44
172,Pasighat,IN,2022-07-20 20:26:54,28.0667,95.3333,76.84,98,100,1.57
173,Liling,CN,2022-07-20 20:31:44,27.6667,113.5,78.85,87,100,3.51
174,Noboribetsu,JP,2022-07-20 20:31:44,42.4514,141.1731,67.06,98,99,2.46
175,Ostrovnoy,RU,2022-07-20 20:31:44,68.0531,39.5131,47.05,96,23,4.5
176,Talnakh,RU,2022-07-20 20:31:45,69.4865,88.3972,52.21,71,100,5.84
177,Hermanus,ZA,2022-07-20 20:31:45,-34.4187,19.2345,43.81,67,1,3.36
178,Udachnyy,RU,2022-07-20 20:31:45,66.4167,112.4,53.82,64,100,7.67
179,Dzerzhinsk,RU,2022-07-20 20:32:46,56.2389,43.4631,60.62,82,40,4.47
180,Luanda,AO,2022-07-20 20:28:09,-8.8368,13.2343,69.8,83,0,6.91
181,Grindavik,IS,2022-07-20 20:32:46,63.8424,-22.4338,51.75,87,40,17.27
182,Honiara,SB,2022-07-20 20:32:46,-9.4333,159.95,79.38,79,55,4.59
183,Kavaratti,IN,2022-07-20 20:32:47,10.5669,72.642,81.16,79,100,18.88
184,Victoria,HK,2022-07-20 20:32:19,22.2855,114.1577,86.32,86,21,5.99
185,Sitka,US,2022-07-20 20:32:47,57.0531,-135.33,53.49,87,100,9.22
186,Amalapuram,IN,2022-07-20 20:32:48,16.5833,82.0167,80.35,85,52,3.91
187,Bontang,ID,2022-07-20 20:32:48,0.1333,117.5,77.76,86,3,2.3
188,Constitucion,CL,2022-07-20 20:32:48,-35.3333,-72.4167,55.6,85,6,11.1
189,Pinos,MX,2022-07-20 20:32:48,22.3,-101.5667,79.88,18,5,14.76
190,Kirakira,SB,2022-07-20 20:32:04,-10.4544,161.9205,80.89,79,74,7.07
191,Fortuna,US,2022-07-20 20:32:49,40.5982,-124.1573,69.93,71,36,3.0
192,Suamico,US,2022-07-20 20:32:49,44.6319,-88.0393,81.48,65,100,17.27
193,Nalut,LY,2022-07-20 20:32:50,30.3333,10.85,87.24,16,0,9.15
194,Tuy Hoa,VN,2022-07-20 20:32:50,13.0833,109.3,74.66,94,100,3.89
195,Hasaki,JP,2022-07-20 20:32:50,35.7333,140.8333,73.8,82,99,8.32
196,Gunjur,GM,2022-07-20 20:32:51,13.2019,-16.7339,80.67,83,75,3.44
197,Lagoa,PT,2022-07-20 20:32:51,39.05,-27.9833,72.05,80,7,3.8
198,Matay,EG,2022-07-20 20:32:51,28.419,30.7792,85.75,35,0,18.34
199,Tahta,EG,2022-07-20 20:32:52,26.7693,31.5021,87.93,21,21,7.87
200,Santa Marta,CO,2022-07-20 20:31:11,11.2408,-74.199,91.45,58,75,9.22
201,Linxia,CN,2022-07-20 20:32:52,35.6003,103.2064,58.86,80,58,2.64
202,Esperance,AU,2022-07-20 20:32:52,-33.8667,121.9,61.79,52,100,18.66
203,Bundaberg,AU,2022-07-20 20:32:53,-24.85,152.35,60.22,87,100,1.99
204,Pevek,RU,2022-07-20 20:31:29,69.7008,170.3133,31.69,90,98,15.21
205,Eyl,SO,2022-07-20 20:32:53,7.9803,49.8164,74.59,83,44,17.38
206,College,US,2022-07-20 20:32:53,64.8569,-147.8028,64.58,63,75,9.22
207,Zhezkazgan,KZ,2022-07-20 20:32:54,47.8043,67.7144,81.84,38,90,2.51
208,Mantua,IT,2022-07-20 20:32:54,45.1667,10.7833,87.04,58,0,1.99
209,Taoudenni,ML,2022-07-20 20:31:03,22.6783,-3.9836,94.91,35,56,20.71
210,Qaanaaq,GL,2022-07-20 20:32:55,77.484,-69.3632,41.09,80,100,3.53
211,Ishurdi,BD,2022-07-20 20:32:55,24.1333,89.0833,81.55,84,100,6.53
212,Chengde,CN,2022-07-20 20:32:55,40.9725,117.9361,64.0,94,16,2.26
213,Korem,ET,2022-07-20 20:32:55,12.5058,39.5228,55.83,86,100,8.12
214,Abaza,RU,2022-07-20 20:32:56,52.655,90.0928,53.24,75,100,4.34
215,Setermoen,NO,2022-07-20 20:32:56,68.861,18.3486,60.76,84,75,1.01
216,Port Lincoln,AU,2022-07-20 20:31:01,-34.7333,135.8667,51.42,80,71,10.6
217,Kalmunai,LK,2022-07-20 20:32:57,7.4167,81.8167,79.81,84,98,5.5
218,Namatanai,PG,2022-07-20 20:29:46,-3.6667,152.4333,77.85,81,92,6.89
219,Kurilsk,RU,2022-07-20 20:32:57,45.2333,147.8833,52.59,96,100,7.94
220,Mayumba,GA,2022-07-20 20:32:57,-3.432,10.6554,70.32,93,87,7.25
221,Lompoc,US,2022-07-20 20:28:18,34.6391,-120.4579,95.02,65,0,12.66
222,Necochea,AR,2022-07-20 20:32:58,-38.5473,-58.7368,58.95,55,28,17.4
223,Boyolangu,ID,2022-07-20 20:32:58,-8.1181,111.8935,72.86,90,85,5.19
224,Aranos,NA,2022-07-20 20:32:58,-24.1333,19.1167,53.42,38,0,7.58
225,Deputatskiy,RU,2022-07-20 20:33:59,69.3,139.9,36.66,92,91,4.65
226,Timmins,CA,2022-07-20 20:29:13,48.4669,-81.3331,75.02,83,75,13.8
227,San Quintin,MX,2022-07-20 20:33:59,30.4833,-115.95,75.78,63,73,13.94
228,Byron Bay,AU,2022-07-20 20:31:00,-28.65,153.6167,55.94,74,100,16.2
229,Tongchuan,CN,2022-07-20 20:33:59,35.0806,109.0897,67.48,76,0,2.77
230,Bacolod,PH,2022-07-20 20:29:44,10.6667,122.95,77.77,85,60,2.59
231,Lebu,CL,2022-07-20 20:29:50,-37.6167,-73.65,53.58,95,100,11.21
232,Trelew,AR,2022-07-20 20:34:00,-43.249,-65.3051,48.69,43,100,22.26
233,Maiduguri,NG,2022-07-20 20:34:00,11.8464,13.1603,74.41,76,85,2.28
234,Saint John,CA,2022-07-20 20:30:44,45.2727,-66.0677,81.63,39,20,13.8
235,Mayor Pablo Lagerenza,PY,2022-07-20 20:34:01,-19.9309,-60.7718,91.29,19,12,10.85
236,San Vicente,AR,2022-07-20 20:34:01,-26.6167,-54.1333,66.74,86,9,3.09
237,Egvekinot,RU,2022-07-20 20:34:01,66.3167,-179.1667,37.54,61,66,7.76
238,Saskylakh,RU,2022-07-20 20:34:02,71.9167,114.0833,39.78,81,64,14.05
239,Oum Hadjer,TD,2022-07-20 20:34:02,13.2954,19.6966,83.68,62,96,8.81
240,Nyurba,RU,2022-07-20 20:34:02,63.2842,118.3319,56.19,97,100,3.96
