City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Belmonte,BR,-15.8631,-38.8828,80.06,63,3,5.48,light rain
143,Tokat,TR,40.4167,36.5833,68.27,61,0,6.85,clear sky
144,Zlitan,LY,32.4674,14.5687,86.23,65,0,16.24,clear sky
145,Codrington,AU,-38.2667,141.9667,46.54,92,96,13.33,overcast clouds
146,Thomaston,US,32.8882,-84.3266,87.06,66,0,9.22,clear sky
147,Eyl,SO,7.9803,49.8164,76.91,78,14,26.4,few clouds
148,Tazovskiy,RU,67.4667,78.7,49.91,66,8,9.8,clear sky
149,Pangnirtung,CA,66.1451,-65.7125,53.6,82,75,4.61,broken clouds
150,Los Llanos De Aridane,ES,28.6585,-17.9182,75.13,78,75,13.8,broken clouds
151,Hilo,US,19.7297,-155.09,74.93,88,100,12.66,overcast clouds
152,Ghanzi,BW,-21.5667,21.7833,72.48,16,6,8.63,clear sky
153,Provideniya,RU,64.3833,-173.3,46.67,85,8,4.18,clear sky
154,Hithadhoo,MV,-0.6,73.0833,78.44,83,100,18.5,light rain
155,Najran,SA,17.4924,44.1277,97.45,40,98,12.66,overcast clouds
156,Chara,RU,56.9064,118.2631,60.82,74,17,4.72,few clouds
157,Salinopolis,BR,-0.6136,-47.3561,81.43,83,63,9.35,broken clouds
158,Okhotsk,RU,59.3833,143.3,57.38,92,100,7.94,overcast clouds
159,Tomatlan,MX,19.9333,-105.25,86.59,60,97,0.25,overcast clouds
160,Te Anau,NZ,-45.4167,167.7167,31.01,92,49,0.65,scattered clouds
161,Ilulissat,GL,69.2167,-51.1,55.42,54,20,5.75,few clouds
162,Luwuk,ID,-0.9516,122.7875,76.6,89,92,2.68,overcast clouds
163,Nouadhibou,MR,20.931,-17.0347,85.98,62,32,9.22,scattered clouds
164,Parthenay,FR,46.6667,-0.4167,88.38,23,1,10.16,clear sky
165,Plomarion,GR,38.9767,26.3681,93.16,43,0,11.65,clear sky
166,Sinnamary,GF,5.3833,-52.95,82.78,76,22,7.25,few clouds
167,Pierre,US,44.3683,-100.351,79.72,53,0,24.16,clear sky
168,Kingston,JM,17.997,-76.7936,91.24,60,20,26.46,few clouds
169,Chapais,CA,49.7834,-74.8492,73.18,46,42,12.39,scattered clouds
170,Cidreira,BR,-30.1811,-50.2056,61.29,68,71,12.39,broken clouds
171,Tezu,IN,27.9167,96.1667,75.51,97,99,2.26,overcast clouds
172,Tuatapere,NZ,-46.1333,167.6833,36.45,90,23,5.77,few clouds
173,Klaksvik,FO,62.2266,-6.589,52.56,76,54,15.84,broken clouds
174,Tambacounda,SN,13.7539,-13.7586,84.25,79,75,6.91,broken clouds
175,Husavik,IS,66.0449,-17.3389,43.74,87,100,15.97,overcast clouds
176,Saran,FR,47.9501,1.876,91.92,33,0,11.5,clear sky
177,Torbay,CA,47.6666,-52.7314,75.27,71,75,20.71,broken clouds
178,Fremont,US,37.5483,-121.9886,68.11,81,100,4.61,overcast clouds
